audited_at,sha,test_file,test_title,runs,failures,flake_rate,quarantined
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,global.setup.ts,create auth placeholder,20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle2-fastfollow.spec.ts,"full-v2 editor: add warehouse + customer -> Save -> Solve -> NetworkMap output, R7 hide-closed, R3 status paint, demandEditable gate",20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle2-fastfollow.spec.ts,"full-v2 editor: add mine + station -> Save -> Solve -> R1 green stations, no status/hide-closed UI, generated lane costs",20,20,1.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle2-fastfollow.spec.ts,"full-v2 editor: add refinery + customer -> mine un-clickable -> Save -> Solve -> R3/R7 refineries only, unit 'mi', generated mine->refinery + refinery->customer rows",20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle4-auth-landing.spec.ts,"/login renders the split-screen shell, cover panel, labs strip, and credit links",20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle4-auth-landing.spec.ts,/login shows an error alert on a bad login,20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle4-auth-landing.spec.ts,/register renders the same split-screen shell and enforces the password-length hint,20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle4-auth-landing.spec.ts,hero renders and every chapter card shows the zero-scenario baseline,20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle4-auth-landing.spec.ts,"creating and solving a scenario updates the stats line, the card status/active badge, and recent solves",20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle5-homepage-distances.spec.ts,solving the same scenario twice yields exactly one recent-solves row,20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle5-homepage-distances.spec.ts,"hero band shows the book-cover icon, the developer-credit footer, and no global AppFooter",20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle5-homepage-distances.spec.ts,a chapter card has the sunken full-bleed footer strip,20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle5-homepage-distances.spec.ts,the merged table paginates over the full base matrix and the From/To filter narrows it live,20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle6-ui-tweaks.spec.ts,last-solved default + one-shot Input Map seeding + header cleanup + tab-close doesn't reopen,20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle6-ui-tweaks.spec.ts,Solution Summary compare drops Aggregate utilization and hyphenates city-state,20,0,0.000,no
